武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
優雅風笛Ⅱ,588,300,,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
琴弦,630,330,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
冰凌琴弦,672,360,,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
骨製號角Ⅰ,420,,,,,"['27.5%', '15%', '7.5%', '50%', '27.5%', '15%']","['20%', '37.5%']"
骨製號角Ⅱ,462,,,,,"['22.5%', '15%', '12.5%', '50%', '22.5%', '15%']","['20%', '5%', '37.5%']"
骨製號角Ⅲ,504,,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
硬骨號角Ⅰ,588,,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
硬骨號角Ⅱ,630,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
硬骨號角Ⅲ,672,(180),,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
堅骨號角Ⅰ,714,(210),,10,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
堅骨號角Ⅱ,798,(240),,10,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
岩賊龍號角Ⅰ,756,120,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
岩賊龍號角Ⅱ,798,150,,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
火焰號角Ⅰ,546,210,-20%,,,"['32.5%', '17.5%', '7.5%', '5%', '37.5%', '32.5%']","['17.5%', '7.5%', '17.5%', '25%']"
火焰號角Ⅱ,630,240,-20%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
蠻顎龍長號Ⅰ,672,270,-20%,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
蠻顎龍長號Ⅱ,798,330,-20%,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
蠻顎龍長號Ⅲ,882,450,-20%,,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
花朵號角Ⅰ,504,240,,,,"['17.5%', '12.5%', '12.5%', '7.5%', '50%', '17.5%']","['12.5%', '12.5%', '20%', '37.5%']"
花朵號角Ⅱ,546,300,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
花朵號角Ⅲ,588,360,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
曼陀羅號角Ⅰ,630,420,,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
曼陀羅號角Ⅱ,672,480,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
曼陀羅號角Ⅲ,714,540,,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
浮空龍號角Ⅰ,546,,+10%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
浮空龍號角Ⅱ,588,,+10%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
浮空龍長號Ⅰ,630,(420),+10%,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
浮空龍長號Ⅱ,672,(480),+10%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
浮空龍長號Ⅲ,714,(570),+10%,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
爆鱗太鼓,756,180,-10%,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
爆鱗鼓赤紅星光,840,210,-10%,,,"['17.5%', '30%', '20%', '15%', '5%', '12.5%']","['17.5%', '30%', '20%', '15%', '5%', '12.5%', '0%']"
音速號角Ⅰ,462,120,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
音速號角Ⅱ,504,150,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
音速號角Ⅲ,546,180,,,,"['20%', '17.5%', '7.5%', '17.5%', '37.5%', '20%']","['17.5%', '7.5%', '30%', '25%']"
皇家琉璃鈴,588,240,,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
皇家琉璃鈴改,630,270,,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
女王笛巨蜂,672,300,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
尖刺號角Ⅰ,546,150,,15,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
尖刺號角Ⅱ,588,180,,15,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
骨鎚龍號角Ⅰ,672,210,,20,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
骨鎚龍號角Ⅱ,756,240,,20,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
骨鎚龍號角Ⅲ,798,270,,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
龍骨古笛Ⅰ,420,300龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨古笛Ⅱ,462,360龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
龍骨古笛Ⅲ,672,420龍封力[小],,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
雷鳴笛,504,390,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
雷光笛Ⅰ,588,480,,,,"['27.5%', '5%', '5%', '37.5%', '12.5%', '12.5%']","['27.5%', '5%', '5%', '37.5%', '25%', '0%']"
雷光笛Ⅱ,672,540,,,,"['27.5%', '5%', '5%', '35%', '15%', '12.5%']","['27.5%', '5%', '5%', '35%', '27.5%', '0%']"
黑鋼龍笛Ⅰ,420,120龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼龍笛Ⅱ,462,150龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
炎王琴,756,330,,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
炎王豎琴,798,390,,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
冥燈龍狩獵笛,714,180龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
鎖縛的暴龍,840,180龍封力[大],-30%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
深邃之鎖,924,240龍封力[大],-30%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
金色的龍笛‧水,630,(300),+10%,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的龍笛‧龍,672,(270)龍封力[小],,20,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
金色的龍笛‧麻痺,588,(210),,20,,"['12.5%', '12.5%', '12.5%', '20%', '30%', '12.5%']","['12.5%', '12.5%', '12.5%', '20%', '42.5%', '0%']"
金色的龍笛‧飛甲,546,150,+30%,20,,"['12.5%', '12.5%', '12.5%', '20%', '30%', '12.5%']","['12.5%', '12.5%', '12.5%', '20%', '42.5%', '0%']"
金色的龍笛‧搔,588,(180),+35%,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
金色的龍笛‧毒妖,630,270,,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的龍笛‧蠻顎,714,210,-20%,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的龍笛‧浮空,630,210,+10%,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的龍笛‧風漂,588,180,,20,,"['20%', '25%', '10%', '10%', '22.5%', '12.5%']","['20%', '25%', '10%', '10%', '35%', '0%']"
金色的龍笛‧骨鎚,714,120,+10%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的龍笛‧幻,504,270,,20,,"['60%', '5%', '5%', '10%', '5%', '2.5%']","['12.5%', '60%', '5%', '5%', '10%', '5%', '15%', '0%']"
金色的龍笛‧岩賊,714,90,+10%,20,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
鎧羅風笛‧飛甲,672,300,+30%,20,,"['12.5%', '12.5%', '12.5%', '20%', '30%', '12.5%']","['12.5%', '12.5%', '12.5%', '20%', '42.5%', '0%']"
鎧羅風笛‧搔,714,(360),+35%,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
鎧羅風笛‧毒妖,756,540,,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅風笛‧蠻顎,840,450,-20%,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅風笛‧浮空,714,420,+10%,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
鎧羅風笛‧風漂,672,360,,20,,"['20%', '25%', '10%', '10%', '22.5%', '12.5%']","['20%', '25%', '10%', '10%', '35%', '0%']"
鎧羅風笛‧骨鎚,798,270,+10%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅風笛‧幻,630,540,,20,,"['60%', '5%', '5%', '10%', '5%', '2.5%']","['12.5%', '60%', '5%', '5%', '10%', '5%', '15%', '0%']"
鎧羅風笛‧岩賊,798,150,+10%,20,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
鎧羅風笛‧水,714,(630),+10%,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅風笛‧龍,756,(540)龍封力[中],,20,,"['60%', '5%', '5%', '5%', '7.5%', '5%']","['12.5%', '60%', '5%', '5%', '5%', '7.5%', '17.5%', '0%']"
鎧羅風笛‧麻痺,840,(420),,20,,"['12.5%', '12.5%', '12.5%', '20%', '30%', '12.5%']","['12.5%', '12.5%', '12.5%', '20%', '42.5%', '0%']"
皇后鼓,798,150,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后鼓‧炎妃,798,180毅力,+20%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后鼓‧滅盡,840,150加速再生,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后鼓‧冥燈,798,240利刃／彈丸節約,+10%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅風笛‧睡眠,798,(420),,20,,"['57.5%', '5%', '5%', '5%', '7.5%', '7.5%']","['12.5%', '57.5%', '5%', '5%', '5%', '7.5%', '20%', '0%']"
帝王金龍笛‧麻痺,798,300會心攻擊【特殊】,+10%,,,"['10%', '12.5%', '12.5%', '20%', '32.5%', '12.5%']","['10%', '12.5%', '12.5%', '20%', '45%', '0%']"
帝王金龍笛‧蠻顎,798,390會心攻擊【屬性】,+5%,,,"['22.5%', '25%', '10%', '10%', '20%', '12.5%']","['22.5%', '25%', '10%', '10%', '32.5%', '0%']"
帝王金龍笛‧幻,672,510會心攻擊【屬性】,+10%,,,"['55%', '5%', '5%', '12.5%', '5%', '5%']","['12.5%', '55%', '5%', '5%', '12.5%', '5%', '17.5%', '0%']"
帝王金龍笛‧岩賊,798,300會心攻擊【特殊】,+15%,,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
帝王金龍笛‧風漂,672,510會心攻擊【屬性】,+10%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
帝王金龍笛‧水,714,450會心攻擊【屬性】,+15%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
帝王金龍笛‧龍,756,420龍封力[中]會心攻擊【屬性】,+10%,,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
