武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
曼陀羅長矛Ⅱ,368,480,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
曼陀羅長矛Ⅲ,391,540,,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
火焰長槍Ⅰ,299,180,+10%,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
火焰長槍Ⅱ,322,210,+10%,,,"['22.5%', '12.5%', '20%', '20%', '25%', '22.5%']","['12.5%', '20%', '25%', '7.5%', '12.5%']"
赤尾長槍,391,240,+10%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
蒼尾長槍,414,270,+20%,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
蒼色日珥,437,300,+20%,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
骨槍Ⅰ,207,,,,,"['25%', '15%', '10%', '50%', '25%', '15%']","['20%', '2.5%', '37.5%']"
骨槍Ⅱ,230,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
骨槍Ⅲ,253,,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
硬骨長槍Ⅰ,322,,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
硬骨長槍Ⅱ,345,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
硬骨長槍Ⅲ,368,(180),,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
堅骨槍Ⅰ,391,(210),,10,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
堅骨槍Ⅱ,437,(240),,10,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
屍套龍長槍,437,240龍封力[中],,,,"['35%', '27.5%', '10%', '10%', '5%', '12.5%']","['35%', '27.5%', '10%', '10%', '12.5%', '5%', '0%']"
死神的哀愁,460,270龍封力[中],,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
巨甲蟲長槍Ⅰ,276,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
巨甲蟲長槍Ⅱ,299,,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
黑色刺針Ⅰ,322,(180),,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
黑色刺針Ⅱ,345,(210),,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
黑色刺針Ⅲ,368,(240),,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
土砂龍長槍Ⅰ,253,,-20%,10,,"['17.5%', '12.5%', '12.5%', '7.5%', '50%', '17.5%']","['12.5%', '12.5%', '20%', '37.5%']"
土砂龍長槍Ⅱ,276,,-20%,10,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
土砂龍長槍Ⅲ,345,,-20%,10,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
土砂龍刺針Ⅰ,391,(300),-20%,15,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
土砂龍刺針Ⅱ,437,(330),-20%,15,,"['27.5%', '17.5%', '7.5%', '22.5%', '25%', '27.5%']","['17.5%', '7.5%', '25%', '10%', '12.5%']"
土砂龍刺針Ⅲ,460,(390),-20%,15,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
慘爪長槍Ⅰ,299,,+15%,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
慘爪長槍Ⅱ,322,(150),+15%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
慘爪刺針Ⅰ,345,(180),+30%,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
慘爪刺針Ⅱ,391,(210),+30%,,,"['42.5%', '25%', '7.5%', '7.5%', '10%', '7.5%']","['0%', '42.5%', '25%', '7.5%', '7.5%', '10%', '7.5%', '0%']"
水流骨槍Ⅰ,253,150,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
水流骨槍Ⅱ,276,180,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
水流骨槍Ⅲ,322,210,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
激流尖刺Ⅰ,345,240,,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
激流尖刺Ⅱ,391,270,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
激流尖刺Ⅲ,437,300,,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
龍骨槍Ⅰ,230,300龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨槍Ⅱ,253,360龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
龍骨槍Ⅲ,368,420龍封力[小],,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
爆鱗突擊槍,414,180,-10%,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
爆鱗槍赤紅巨星,460,210,-10%,,,"['17.5%', '30%', '20%', '15%', '5%', '12.5%']","['17.5%', '30%', '20%', '15%', '5%', '12.5%', '0%']"
雷槍,253,420,+10%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
雷槍【霆】,345,480,+10%,,,"['27.5%', '5%', '5%', '37.5%', '12.5%', '12.5%']","['27.5%', '5%', '5%', '37.5%', '25%', '0%']"
雷槍【建御雷】,368,540,+10%,,,"['27.5%', '5%', '5%', '35%', '15%', '12.5%']","['27.5%', '5%', '5%', '35%', '27.5%', '0%']"
黑鋼槍Ⅰ,230,120龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼槍Ⅱ,253,150龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
鋼冰槍,391,210,+10%,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
祈願鋼龍槍,414,240,+10%,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
冥燈龍長槍,391,180龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
巴別塔,414,(270),,20,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
遠古巴別塔,460,(330),,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
悲哀的重槍,483,150龍封力[大],-25%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
亞特羅西斯塔,529,210龍封力[大],-25%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
金色的長槍‧水,345,(210),,20,,"['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']","['25%', '12.5%', '12.5%', '20%', '30%', '0%']"
金色的長槍‧雷,299,(270),+20%,20,,"['27.5%', '5%', '5%', '35%', '15%', '12.5%']","['27.5%', '5%', '5%', '35%', '27.5%', '0%']"
金色的長槍‧睡眠,322,(210),+10%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
金色的長槍‧搔,322,90,+10%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
金色的長槍‧毒妖,345,270,,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的長槍‧土砂,345,120,-20%,25,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的長槍‧黑甲,299,(120),+10%,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
金色的長槍‧風漂,299,150,,20,,"['57.5%', '5%', '5%', '12.5%', '2.5%', '5%']","['12.5%', '57.5%', '5%', '5%', '12.5%', '2.5%', '17.5%', '0%']"
金色的長槍‧慘爪,299,(60),+30%,20,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
金色的長槍‧屍套,322,120龍封力[中],,20,,"['62.5%', '5%', '5%', '5%', '7.5%', '2.5%']","['12.5%', '62.5%', '5%', '5%', '5%', '7.5%', '15%', '0%']"
金色的長槍‧王,299,150,,20,,"['57.5%', '5%', '5%', '12.5%', '2.5%', '5%']","['12.5%', '57.5%', '5%', '5%', '12.5%', '2.5%', '17.5%', '0%']"
金色的長槍‧岩賊,345,90,+10%,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
鎧羅之尖‧搔,391,210,+10%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
鎧羅之尖‧毒妖,414,540,,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅之尖‧土砂,437,240,-20%,25,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅之尖‧黑甲,368,(270),+10%,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅之尖‧風漂,368,300,,20,,"['57.5%', '5%', '5%', '12.5%', '2.5%', '5%']","['12.5%', '57.5%', '5%', '5%', '12.5%', '2.5%', '17.5%', '0%']"
鎧羅之尖‧慘爪,437,(90),+30%,20,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
鎧羅之尖‧屍套,391,270龍封力[中],,20,,"['62.5%', '5%', '5%', '5%', '7.5%', '2.5%']","['12.5%', '62.5%', '5%', '5%', '5%', '7.5%', '15%', '0%']"
鎧羅之尖‧王,368,300,,20,,"['57.5%', '5%', '5%', '12.5%', '2.5%', '5%']","['12.5%', '57.5%', '5%', '5%', '12.5%', '2.5%', '17.5%', '0%']"
鎧羅之尖‧岩賊,391,210,+10%,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
鎧羅之尖‧水,437,(420),,20,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
鎧羅之尖‧雷,368,(600),+20%,20,,"['27.5%', '5%', '5%', '35%', '15%', '12.5%']","['27.5%', '5%', '5%', '35%', '27.5%', '0%']"
鎧羅之尖‧睡眠,414,(450),+10%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
皇后長槍,414,150,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后長槍‧炎妃,414,180毅力,+20%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后長槍‧滅盡,437,150加速再生,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后長槍‧冥燈,414,240利刃／彈丸節約,+10%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
團旗長槍【流星】,299,120,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
團旗長槍【指引之星】,437,180,,,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
團旗長槍【順風】,299,120,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
團旗長槍【一帆風順】,391,180,,,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
鎧羅之尖‧毒,460,(630),-10%,20,,"['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']","['25%', '12.5%', '12.5%', '20%', '30%', '0%']"
帝王金槍‧麻痺,414,210會心攻擊【特殊】,+10%,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
帝王金槍‧風漂,391,390會心攻擊【屬性】,+10%,,,"['52.5%', '5%', '5%', '12.5%', '5%', '7.5%']","['12.5%', '52.5%', '5%', '5%', '12.5%', '5%', '20%', '0%']"
帝王金槍‧屍套,391,330龍封力[中]會心攻擊【屬性】,+10%,,,"['57.5%', '5%', '5%', '5%', '7.5%', '7.5%']","['12.5%', '57.5%', '5%', '5%', '5%', '7.5%', '20%', '0%']"
帝王金槍‧王,391,390會心攻擊【屬性】,+10%,,,"['52.5%', '5%', '5%', '12.5%', '5%', '7.5%']","['12.5%', '52.5%', '5%', '5%', '12.5%', '5%', '20%', '0%']"
帝王金槍‧岩賊,414,270會心攻擊【特殊】,+15%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
帝王金槍‧水,437,300會心攻擊【屬性】,+10%,,,"['12.5%', '12.5%', '15%', '30%', '17.5%', '12.5%']","['12.5%', '12.5%', '15%', '30%', '20%', '10%', '0%']"
帝王金槍‧雷,414,420會心攻擊【屬性】,+15%,,,"['27.5%', '5%', '5%', '30%', '20%', '12.5%']","['27.5%', '5%', '5%', '30%', '32.5%', '0%']"
