武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
骨鐮Ⅱ,627,(270),,10,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
爆鱗大刀,561,150,-10%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
爆鱗刀赤紅利刃,660,210,-10%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
火焰彎刀Ⅰ,462,150,-20%,,,"['32.5%', '17.5%', '7.5%', '5%', '37.5%', '32.5%']","['17.5%', '7.5%', '17.5%', '25%']"
火焰彎刀Ⅱ,528,210,-20%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
蠻顎龍偃月刀Ⅰ,594,270,-20%,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
蠻顎龍偃月刀Ⅱ,660,330,-20%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
蠻顎龍偃月刀Ⅲ,693,390,-20%,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
泥岩龍彎刀Ⅰ,396,150,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
泥岩龍彎刀Ⅱ,429,180,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
泥岩龍彎刀Ⅲ,462,210,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
深土太刀Ⅰ,495,240,,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
深土太刀Ⅱ,561,300,,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
深土太刀Ⅲ,627,360,,,,"['42.5%', '25%', '7.5%', '7.5%', '5%', '12.5%']","['42.5%', '25%', '7.5%', '7.5%', '10%', '7.5%', '0%']"
屍套龍太刀Ⅰ,627,210龍封力[中],,,,"['40%', '25%', '7.5%', '7.5%', '7.5%', '12.5%']","['40%', '25%', '7.5%', '7.5%', '12.5%', '7.5%', '0%']"
屍套龍太刀Ⅱ,660,270龍封力[中],,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
脈衝彎刀Ⅰ,363,120,+10%,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
脈衝彎刀Ⅱ,396,150,+10%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
脈衝彎刀Ⅲ,462,180,+10%,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
飛雷龍之牙Ⅰ,528,210,+15%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
飛雷龍之牙Ⅱ,561,240,+15%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
飛雷龍之牙Ⅲ,594,270,+15%,,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
優雅彎刀Ⅰ,429,210,,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
優雅彎刀Ⅱ,462,240,,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
流星刀,495,300,,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
幻光刀,528,360,,,,"['60%', '5%', '5%', '5%', '7.5%', '5%']","['12.5%', '60%', '5%', '5%', '5%', '7.5%', '17.5%', '0%']"
黑色彎刀Ⅰ,396,,,,,"['20%', '17.5%', '7.5%', '17.5%', '37.5%', '20%']","['17.5%', '7.5%', '30%', '25%']"
黑色彎刀Ⅱ,429,,,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
黑色偃月刀Ⅰ,462,(180),,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
黑色偃月刀Ⅱ,495,(210),,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
黑色偃月刀Ⅲ,528,(240),,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
龍骨刀Ⅰ,330,270龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨刀Ⅱ,363,330龍封力[小],,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
龍骨刀Ⅲ,528,420龍封力[小],,,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
熔山龍太刀Ⅰ,528,300,-20%,20,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
熔山龍太刀Ⅱ,726,360,-20%,20,,"['52.5%', '7.5%', '10%', '17.5%', '12.5%', '52.5%']","['7.5%', '10%', '22.5%', '7.5%', '0%']"
黑鋼太刀Ⅰ,330,120龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼太刀Ⅱ,363,150龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
帝王刀,561,300,,,,"['25%', '15%', '20%', '20%', '7.5%', '12.5%']","['25%', '15%', '20%', '20%', '15%', '5%', '0%']"
帝王刀【陽炎】,627,300,,,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
冥燈龍太刀,594,180龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
天下無雙刀,561,(120)龍封力[大],,20,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
天上天下無雙刀,693,(150)龍封力[大],,20,,"['25%', '15%', '15%', '25%', '7.5%', '12.5%']","['25%', '15%', '15%', '25%', '12.5%', '7.5%', '0%']"
殘酷痛苦太刀,693,150龍封力[大],-25%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
悲慘痛苦太刀,759,210龍封力[大],-25%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
蒼星的太刀,363,120,+20%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
蒼星的太刀【舞龍】,495,180,+30%,,,"['30%', '7.5%', '15%', '20%', '10%', '5%']","['12.5%', '30%', '7.5%', '15%', '20%', '10%', '17.5%', '0%']"
金色的太刀‧水,528,(210),,20,,"['12.5%', '15%', '5%', '37.5%', '17.5%', '12.5%']","['12.5%', '15%', '5%', '37.5%', '22.5%', '7.5%', '0%']"
金色的太刀‧毒,528,(210),+10%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
金色的太刀‧麻痺,495,(150),,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
金色的太刀‧搔,495,120,+20%,20,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
金色的太刀‧泥魚,594,180,,20,,"['42.5%', '25%', '7.5%', '7.5%', '5%', '12.5%']","['42.5%', '25%', '7.5%', '7.5%', '10%', '7.5%', '0%']"
金色的太刀‧飛雷,528,120,+30%,20,,"['32.5%', '25%', '7.5%', '7.5%', '15%', '12.5%']","['32.5%', '25%', '7.5%', '7.5%', '20%', '7.5%', '0%']"
金色的太刀‧蠻顎,561,180,-10%,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的太刀‧黑甲,396,120,,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
金色的太刀‧眩,528,(180),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的太刀‧風漂,462,180,,20,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
金色的太刀‧屍套,561,120龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
金色的太刀‧爆鎚,528,90,,40,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
金色的太刀‧熔山,528,180,-20%,30,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
鎧羅劍‧搔,561,210,+20%,20,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
鎧羅劍‧泥魚,660,360,,20,,"['42.5%', '25%', '7.5%', '7.5%', '5%', '12.5%']","['42.5%', '25%', '7.5%', '7.5%', '10%', '7.5%', '0%']"
鎧羅劍‧飛雷,594,270,+30%,20,,"['32.5%', '25%', '7.5%', '7.5%', '15%', '12.5%']","['32.5%', '25%', '7.5%', '7.5%', '20%', '7.5%', '0%']"
鎧羅劍‧蠻顎,693,390,-10%,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅劍‧黑甲,528,210,,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅劍‧眩,627,(360),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
鎧羅劍‧風漂,528,360,,20,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
鎧羅劍‧屍套,660,270龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
鎧羅劍‧爆鎚,660,120,,40,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
鎧羅劍‧熔山,726,360,-20%,30,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
鎧羅劍‧水,627,(420),,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
鎧羅劍‧毒,627,(420),+10%,20,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
鎧羅劍‧麻痺,561,(330),,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后劍,594,150,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后劍‧炎妃,594,180毅力,+20%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后劍‧滅盡,627,150加速再生,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后劍‧冥燈,594,240利刃／彈丸節約,+10%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅劍‧火,660,(450),,20,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
帝王金太刀‧飛雷,627,330會心攻擊【屬性】,+20%,,,"['32.5%', '25%', '7.5%', '7.5%', '15%', '12.5%']","['32.5%', '25%', '7.5%', '7.5%', '20%', '7.5%', '0%']"
帝王金太刀‧風漂,561,390會心攻擊【屬性】,+15%,,,"['52.5%', '5%', '5%', '5%', '7.5%', '12.5%']","['12.5%', '52.5%', '5%', '5%', '5%', '7.5%', '25%', '0%']"
帝王金太刀‧屍套,676.5,330龍封力[中]會心攻擊【屬性】,+15%,,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
帝王金太刀‧熔山,693,420會心攻擊【特殊】,+10%,15,,"['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']","['25%', '12.5%', '12.5%', '20%', '30%', '0%']"
帝王金太刀‧水,610.5,390會心攻擊【屬性】,+15%,,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
帝王金太刀‧火,627,390會心攻擊【屬性】,+20%,,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
帝王金太刀‧麻痺,528,270會心攻擊【特殊】,+15%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
