武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
脈衝銃槍Ⅲ,299,180放射型 Lv 1,+10%,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
飛雷銃槍鐵飛蛇,345,210放射型 Lv 2,+20%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
飛雷銃槍鐵飛蛇改,391,240放射型 Lv 2,+20%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
飛雷銃槍【蜻蜓切】,414,270放射型 Lv 3,+20%,,,"['25%', '15%', '15%', '25%', '7.5%', '12.5%']","['25%', '15%', '15%', '25%', '12.5%', '7.5%', '0%']"
火龍銃槍Ⅰ,276,120放射型 Lv 1,+15%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
火龍銃槍Ⅱ,322,150放射型 Lv 1,+15%,,,"['22.5%', '12.5%', '20%', '20%', '25%', '22.5%']","['12.5%', '20%', '25%', '7.5%', '12.5%']"
紅色城塔,345,180放射型 Lv 2,+20%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
藍色城塔,414,210放射型 Lv 2,+20%,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
藍色戰車,437,240放射型 Lv 3,+20%,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
公主銃槍,276,240通常彈 Lv 2,+10%,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
公主銃槍改,345,270通常彈 Lv 2,+10%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
薔薇銃槍,391,300通常彈 Lv 3,+15%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
皇家銃槍,437,330通常彈 Lv 4,+15%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
泥岩銃槍Ⅰ,253,210擴散型 Lv 1,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
泥岩銃槍Ⅱ,276,240擴散型 Lv 1,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
泥岩銃槍Ⅲ,299,270擴散型 Lv 1,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
泥岩龍銃槍Ⅰ,345,300擴散型 Lv 2,,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
泥岩龍銃槍Ⅱ,368,330擴散型 Lv 2,,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
泥岩龍銃槍Ⅲ,437,360擴散型 Lv 3,,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
優雅銃槍Ⅰ,299,180通常彈 Lv 2,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
優雅銃槍Ⅱ,322,240通常彈 Lv 2,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
風漂龍加農砲Ⅰ,345,300通常彈 Lv 3,,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
風漂龍加農砲Ⅱ,368,360通常彈 Lv 3,,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
骨銃槍Ⅰ,207,通常彈 Lv 1,,,,"['25%', '15%', '10%', '50%', '25%', '15%']","['20%', '2.5%', '37.5%']"
骨銃槍Ⅱ,230,通常彈 Lv 1,,,,"['20%', '12.5%', '17.5%', '50%', '20%', '12.5%']","['20%', '10%', '37.5%']"
骨銃槍Ⅲ,253,通常彈 Lv 1,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
大骨銃槍Ⅰ,276,放射型 Lv 1,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
大骨銃槍Ⅱ,322,放射型 Lv 1,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
大骨銃槍Ⅲ,368,(210)放射型 Lv 1,,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
大骨銃槍【龍尾】Ⅰ,391,(240)放射型 Lv 2,,10,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
大骨銃槍【龍尾】Ⅱ,437,(270)放射型 Lv 2,,10,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
爆鱗龍銃槍Ⅰ,437,180擴散型 Lv 3,-10%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
爆鱗龍銃槍Ⅱ,460,210擴散型 Lv 3,-10%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
牙龍銃槍Ⅰ,253,通常彈 Lv 2,,,,"['22.5%', '12.5%', '12.5%', '2.5%', '50%', '22.5%']","['12.5%', '12.5%', '15%', '37.5%']"
牙龍銃槍Ⅱ,276,通常彈 Lv 2,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
牙龍銃槍Ⅲ,322,通常彈 Lv 2,,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
牙龍銃槍【大喰】Ⅰ,345,(240)通常彈 Lv 3,,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
牙龍銃槍【大喰】Ⅱ,437,(270)通常彈 Lv 3,,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
牙龍銃槍【大喰】Ⅲ,437,(300)通常彈 Lv 3,,,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
牙龍銃槍【黃牙】Ⅰ,276,210通常彈 Lv 2,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
牙龍銃槍【黃牙】Ⅱ,299,270通常彈 Lv 2,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
牙龍銃槍【黑頭巾】Ⅰ,322,330通常彈 Lv 3,+10%,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
牙龍銃槍【黑頭巾】Ⅱ,345,390通常彈 Lv 3,+10%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
牙龍銃槍【黑頭巾】Ⅲ,368,450通常彈 Lv 3,+10%,,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
屍套龍火槍Ⅰ,437,240放射型 Lv 3龍封力[中],,,,"['35%', '27.5%', '10%', '10%', '5%', '12.5%']","['35%', '27.5%', '10%', '10%', '12.5%', '5%', '0%']"
屍套龍火槍Ⅱ,460,270放射型 Lv 3龍封力[中],,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
土砂龍銃槍Ⅰ,276,擴散型 Lv 1,-10%,10,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
土砂龍銃槍Ⅱ,299,擴散型 Lv 1,-10%,10,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
土砂龍衝槍Ⅲ,345,擴散型 Lv 1,-10%,10,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
土砂龍破壞砲Ⅰ,391,(270)擴散型 Lv 2,-10%,15,,"['30%', '17.5%', '7.5%', '20%', '25%', '30%']","['17.5%', '7.5%', '25%', '7.5%', '12.5%']"
土砂龍破壞砲Ⅱ,437,(330)擴散型 Lv 2,-10%,15,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
土砂龍破壞砲Ⅲ,460,(390)擴散型 Lv 3,-10%,15,,"['30%', '17.5%', '7.5%', '25%', '7.5%', '12.5%']","['30%', '17.5%', '7.5%', '25%', '20%', '0%']"
火焰銃槍Ⅰ,299,210放射型 Lv 1,-20%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
火焰銃槍Ⅱ,322,240放射型 Lv 1,-20%,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
蠻顎龍加農砲Ⅰ,368,270放射型 Lv 2,-20%,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
蠻顎龍加農砲Ⅱ,414,330放射型 Lv 2,-20%,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
蠻顎龍加農砲Ⅲ,483,450放射型 Lv 3,-20%,,,"['32.5%', '17.5%', '7.5%', '25%', '5%', '12.5%']","['32.5%', '17.5%', '7.5%', '25%', '17.5%', '0%']"
龍骨銃槍Ⅰ,230,360通常彈 Lv 2龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨銃槍Ⅱ,253,390通常彈 Lv 2龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
龍骨銃槍Ⅲ,368,420通常彈 Lv 3龍封力[小],,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
熔山龍銃槍,368,330放射型 Lv 3,-10%,20,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
驚天動地熔山龍銃槍,460,420放射型 Lv 4,-10%,20,,"['52.5%', '7.5%', '10%', '17.5%', '12.5%', '52.5%']","['7.5%', '10%', '22.5%', '7.5%', '0%']"
黑鋼銃槍Ⅰ,230,120通常彈 Lv 2龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼銃槍Ⅱ,253,150通常彈 Lv 2龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
鋼冰銃槍,391,210放射型 Lv 3,+10%,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
鋼龍爪銃槍,414,240放射型 Lv 3,+10%,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
冥燈龍銃槍,391,180放射型 Lv 3龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
愚欲的銃槍,483,180放射型 Lv 3龍封力[大],-30%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
暴銃槍格拉古利德,529,240放射型 Lv 3龍封力[大],-30%,,,"['10%', '30%', '20%', '15%', '12.5%', '12.5%']","['10%', '30%', '20%', '15%', '12.5%', '12.5%', '0%']"
金色的銃槍‧水,322,(210)擴散型 Lv 3,,20,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
金色的銃槍‧毒,299,(210)通常彈 Lv 3,+15%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
金色的銃槍‧睡眠,322,(210)通常彈 Lv 3,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的銃槍‧賊,322,90通常彈 Lv 4,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的銃槍‧泥魚,322,180擴散型 Lv 3,,20,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
金色的銃槍‧土砂,299,(180)擴散型 Lv 3,-10%,25,,"['60%', '5%', '5%', '5%', '7.5%', '5%']","['12.5%', '60%', '5%', '5%', '5%', '7.5%', '17.5%', '0%']"
金色的銃槍‧飛雷,322,120放射型 Lv 3,+20%,20,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
金色的銃槍‧蠻顎,345,210擴散型 Lv 3,-20%,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的銃槍‧痺賊,322,210通常彈 Lv 3,+10%,20,,"['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']","['27.5%', '12.5%', '12.5%', '20%', '27.5%', '0%']"
金色的銃槍‧風漂,322,180通常彈 Lv 3,+10%,20,,"['40%', '17.5%', '5%', '5%', '20%', '12.5%']","['40%', '17.5%', '5%', '5%', '22.5%', '10%', '0%']"
金色的銃槍‧屍套,368,120放射型 Lv 3龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
金色的銃槍‧王,322,120放射型 Lv 4,+20%,20,,"['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']","['20%', '12.5%', '12.5%', '20%', '35%', '0%']"
金色的銃槍‧爆鱗,368,90擴散型 Lv 4,,20,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
鎧羅銃槍‧賊,437,180通常彈 Lv 4,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅銃槍‧泥魚,437,360擴散型 Lv 3,,20,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
鎧羅銃槍‧土砂,391,(390)擴散型 Lv 3,-10%,25,,"['60%', '5%', '5%', '5%', '7.5%', '5%']","['12.5%', '60%', '5%', '5%', '5%', '7.5%', '17.5%', '0%']"
鎧羅銃槍‧飛雷,391,270放射型 Lv 3,+20%,20,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
鎧羅銃槍‧蠻顎,460,450擴散型 Lv 3,-20%,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅銃槍‧痺賊,368,450通常彈 Lv 3,+10%,20,,"['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']","['27.5%', '12.5%', '12.5%', '20%', '27.5%', '0%']"
鎧羅銃槍‧風漂,368,360通常彈 Lv 3,+10%,20,,"['40%', '17.5%', '5%', '5%', '20%', '12.5%']","['40%', '17.5%', '5%', '5%', '22.5%', '10%', '0%']"
鎧羅銃槍‧屍套,460,270放射型 Lv 3龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
鎧羅銃槍‧王,414,240放射型 Lv 4,+20%,20,,"['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']","['20%', '12.5%', '12.5%', '20%', '35%', '0%']"
鎧羅銃槍‧爆鱗,414,210擴散型 Lv 4,,20,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
鎧羅銃槍‧水,437,(450)擴散型 Lv 4,,20,,"['17.5%', '15%', '15%', '25%', '15%', '12.5%']","['17.5%', '15%', '15%', '25%', '20%', '7.5%', '0%']"
鎧羅銃槍‧毒,460,(450)通常彈 Lv 3,+15%,20,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
鎧羅銃槍‧睡眠,437,(450)通常彈 Lv 4,,20,,"['45%', '17.5%', '5%', '5%', '15%', '12.5%']","['45%', '17.5%', '5%', '5%', '17.5%', '10%', '0%']"
皇后牙杖,437,150擴散型 Lv 3,,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后牙杖‧炎妃,437,180擴散型 Lv 3毅力,+20%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后牙杖‧滅盡,460,150擴散型 Lv 3加速再生,,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后牙杖‧冥燈,437,240擴散型 Lv 3利刃／彈丸節約,+10%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
鎧羅銃槍‧冰,414,(450)放射型 Lv 3,,20,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
帝王金銃槍‧風漂,414,390通常彈 Lv 4會心攻擊【屬性】,+15%,,,"['40%', '17.5%', '5%', '5%', '20%', '12.5%']","['40%', '17.5%', '5%', '5%', '22.5%', '10%', '0%']"
帝王金銃槍‧屍套,437,300放射型 Lv 4龍封力[中]會心攻擊【屬性】,+15%,,,"['45%', '17.5%', '5%', '5%', '15%', '12.5%']","['45%', '17.5%', '5%', '5%', '17.5%', '10%', '0%']"
帝王金銃槍‧王,414,390放射型 Lv 4會心攻擊【屬性】,+15%,,,"['15%', '12.5%', '12.5%', '20%', '27.5%', '12.5%']","['15%', '12.5%', '12.5%', '20%', '40%', '0%']"
帝王金銃槍‧爆鱗,414,330擴散型 Lv 4會心攻擊【特殊】,+20%,,,"['17.5%', '12.5%', '12.5%', '20%', '25%', '12.5%']","['17.5%', '12.5%', '12.5%', '20%', '37.5%', '0%']"
帝王金銃槍‧飛雷,414,330放射型 Lv 4會心攻擊【屬性】,+15%,,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
帝王金銃槍‧麻痺,414,360通常彈 Lv 4會心攻擊【特殊】,+15%,,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
帝王金銃槍‧水,437,420擴散型 Lv 4會心攻擊【屬性】,+10%,,,"['15%', '15%', '15%', '25%', '17.5%', '12.5%']","['15%', '15%', '15%', '25%', '22.5%', '7.5%', '0%']"
