武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
屍套龍大劍,912,300龍封力[中],,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
魔物的憤怒,960,300龍封力[中],,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
蠻顎龍大劍,720,240,-30%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
蠻顎龍大劍改,864,300,-30%,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
蠻顎大劍,1008,480,-30%,,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
水斬劍Ⅰ,576,120,,,,"['22.5%', '17.5%', '7.5%', '2.5%', '50%', '22.5%']","['17.5%', '7.5%', '15%', '37.5%']"
水斬劍Ⅱ,624,150,,,,"['32.5%', '17.5%', '7.5%', '5%', '37.5%', '32.5%']","['17.5%', '7.5%', '17.5%', '25%']"
水斬劍Ⅲ,672,180,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
激流巨像Ⅰ,768,240,,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
激流巨像Ⅱ,816,270,,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
激流巨像Ⅲ,912,300,,,,"['47.5%', '17.5%', '5%', '12.5%', '5%', '12.5%']","['47.5%', '17.5%', '5%', '12.5%', '7.5%', '10%', '0%']"
土砂龍巨劍Ⅰ,624,,-20%,10,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
土砂龍巨劍Ⅱ,672,,-20%,10,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
土砂龍巨劍Ⅲ,720,,-20%,10,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
土砂龍粉碎者Ⅰ,816,(270),-20%,15,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
土砂龍粉碎者Ⅱ,864,(330),-20%,15,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
土砂龍粉碎者Ⅲ,960,(390),-20%,15,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
尖刺劍Ⅰ,624,150,,15,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
尖刺劍Ⅱ,672,180,,15,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
塊劍拉多巴爾喀Ⅰ,768,210,,20,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
塊劍拉多巴爾喀Ⅱ,816,240,,20,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
塊劍拉多巴爾喀Ⅲ,912,270,,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
龍骨大劍Ⅰ,480,270龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨大劍Ⅱ,576,330龍封力[小],,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
龍骨大劍Ⅲ,768,420龍封力[小],,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
熔山龍大劍Ⅰ,768,330,-20%,20,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
熔山龍大劍Ⅱ,1056,420,-20%,20,,"['52.5%', '7.5%', '10%', '17.5%', '12.5%', '52.5%']","['7.5%', '10%', '22.5%', '7.5%', '0%']"
召雷劍,528,390,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
召雷劍【麒麟】,720,480,,,,"['27.5%', '5%', '5%', '40%', '10%', '12.5%']","['27.5%', '5%', '5%', '40%', '22.5%', '0%']"
召雷劍【麒麟王】,768,540,,,,"['27.5%', '5%', '5%', '37.5%', '12.5%', '12.5%']","['27.5%', '5%', '5%', '37.5%', '25%', '0%']"
黑鋼大劍Ⅰ,480,90龍封力[小],+10%,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼大劍Ⅱ,576,120龍封力[小],+10%,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
鋼冰大劍,816,210,,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
鋼龍凍大劍,864,270,+10%,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
冥燈龍大劍,816,210龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
龍顎劍,864,(240),,20,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
龍顎劍【大牙】,960,(330),,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
狂戰士之劍,1008,180龍封力[大],-30%,,,"['17.5%', '30%', '20%', '15%', '5%', '12.5%']","['17.5%', '30%', '20%', '15%', '5%', '12.5%', '0%']"
痛苦之劍,1104,240龍封力[大],-30%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
龍熱機關式【鋼翼】,720,,-15%,,,"['45%', '17.5%', '5%', '5%', '2.5%', '25%']","['45%', '17.5%', '5%', '5%', '15%', '12.5%']"
龍熱機關式【鋼翼】改,1008,(510),-15%,,,"['62.5%', '5%', '5%', '5%', '7.5%', '2.5%']","['12.5%', '62.5%', '5%', '5%', '5%', '7.5%', '15%', '0%']"
金色的大劍‧水,768,(270),,20,,"['47.5%', '17.5%', '5%', '12.5%', '5%', '12.5%']","['47.5%', '17.5%', '5%', '12.5%', '7.5%', '10%', '0%']"
金色的大劍‧冰,768,(240),+10%,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
金色的大劍‧睡眠,768,(210),,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的大劍‧賊,768,(150),,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的大劍‧毒妖,768,270,,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的大劍‧土砂,864,(180),-20%,25,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的大劍‧痺賊,672,210,+30%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
金色的大劍‧骨鎚,816,120,+10%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的大劍‧屍套,816,150龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
金色的大劍‧王,816,120,+10%,20,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
金色的大劍‧熔岩,768,150,,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
金色的大劍‧熔山,768,210,-20%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅炎‧賊,960,(300),,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅炎‧毒妖,864,540,,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅炎‧土砂,1008,(390),-20%,25,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅炎‧痺賊,768,450,+30%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
鎧羅炎‧骨鎚,912,270,+10%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅炎‧屍套,960,300龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
鎧羅炎‧王,912,240,+10%,20,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
鎧羅炎‧熔岩,912,330,,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
鎧羅炎‧熔山,1008,420,-20%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅炎‧水,912,(540),,20,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
鎧羅炎‧冰,912,(510),+10%,20,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
鎧羅炎‧睡眠,912,(450),,30,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
皇后盔,864,210,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后盔‧炎妃,864,270毅力,+20%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后盔‧滅盡,912,210加速再生,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后盔‧冥燈,864,330利刃／彈丸節約,+10%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅炎‧雷,1008,(600),,20,,"['20%', '25%', '10%', '10%', '22.5%', '12.5%']","['20%', '25%', '10%', '10%', '35%', '0%']"
帝王金大劍‧痺賊,840,480會心攻擊【特殊】,+20%,,,"['17.5%', '15%', '15%', '25%', '15%', '12.5%']","['17.5%', '15%', '15%', '25%', '20%', '7.5%', '0%']"
帝王金大劍‧屍套,984,360龍封力[中]會心攻擊【屬性】,+20%,,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
帝王金大劍‧王,936,300會心攻擊【屬性】,+20%,,,"['12.5%', '12.5%', '15%', '30%', '17.5%', '12.5%']","['12.5%', '12.5%', '15%', '30%', '20%', '10%', '0%']"
帝王金大劍‧熔山,984,480會心攻擊【特殊】,+10%,15,,"['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']","['27.5%', '12.5%', '12.5%', '20%', '27.5%', '0%']"
帝王金大劍‧水,912,480會心攻擊【屬性】,+20%,,,"['35%', '25%', '7.5%', '7.5%', '12.5%', '12.5%']","['35%', '25%', '7.5%', '7.5%', '17.5%', '7.5%', '0%']"
帝王金大劍‧冰,912,450會心攻擊【屬性】,+20%,,,"['12.5%', '12.5%', '15%', '30%', '17.5%', '12.5%']","['12.5%', '12.5%', '15%', '30%', '20%', '10%', '0%']"
帝王金大劍‧雷,1008,480會心攻擊【屬性】,+10%,,,"['17.5%', '25%', '10%', '10%', '25%', '12.5%']","['17.5%', '25%', '10%', '10%', '37.5%', '0%']"
