武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
火炎小刀Ⅱ,196,120,+10%,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
炙熱銳劍,224,150,+20%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
日冕短劍,266,180,+20%,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
重鐵劍,210,,,20,,"['10%', '12.5%', '20%', '20%', '37.5%', '10%']","['12.5%', '20%', '32.5%', '25%']"
重鐵劍改,252,(270),,20,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
至尊劍,280,(330),,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
水流小刀Ⅰ,140,90,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
水流小刀Ⅱ,168,120,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
水流小刀Ⅲ,196,150,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
洶湧奔流Ⅰ,210,180,,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
洶湧奔流Ⅱ,224,210,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
洶湧奔流Ⅲ,252,240,,,,"['25%', '15%', '15%', '25%', '7.5%', '12.5%']","['25%', '15%', '15%', '25%', '12.5%', '7.5%', '0%']"
優雅鬥士Ⅰ,182,210,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
優雅鬥士Ⅱ,196,240,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
三星劍,210,300,,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
冰凌三星劍,224,330,,,,"['30%', '7.5%', '15%', '20%', '10%', '5%']","['12.5%', '30%', '7.5%', '15%', '20%', '10%', '17.5%', '0%']"
公主細劍,168,150,+10%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
女王細劍,210,180,+10%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
女王薔薇,238,210,+10%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
皇家薔薇,266,240,+10%,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
浮空龍小刀Ⅰ,168,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
浮空龍小刀Ⅱ,182,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
浮空龍戰斧Ⅰ,210,(270),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
浮空龍戰斧Ⅱ,224,(300),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
浮空龍戰斧Ⅲ,238,(330),,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
花朵小刀Ⅰ,154,210,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
花朵小刀Ⅱ,182,240,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
花朵小刀Ⅲ,196,270,,,,"['10%', '12.5%', '20%', '20%', '37.5%', '10%']","['12.5%', '20%', '32.5%', '25%']"
盛開曼陀羅Ⅰ,210,330,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
盛開曼陀羅Ⅱ,224,360,,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
盛開曼陀羅Ⅲ,238,390,,,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
凶顎龍小刀Ⅰ,168,120,+10%,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
凶顎龍小刀Ⅱ,182,150,+10%,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
馬拉多戰斧Ⅰ,196,180,+20%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
馬拉多戰斧Ⅱ,210,210,+20%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
馬拉多戰斧Ⅲ,224,240,+20%,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
骨製曲刀Ⅰ,140,,,,,"['22.5%', '15%', '12.5%', '50%', '22.5%', '15%']","['20%', '5%', '37.5%']"
骨製曲刀Ⅱ,154,,,,,"['20%', '12.5%', '17.5%', '50%', '20%', '12.5%']","['20%', '10%', '37.5%']"
骨製曲刀Ⅲ,168,,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
酋長曲刀Ⅰ,196,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
酋長曲刀Ⅱ,210,,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
酋長曲刀Ⅲ,224,(180),,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
大地巴龍刀Ⅰ,238,(240),,10,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
大地巴龍刀Ⅱ,266,(300),,10,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
尖刺銳劍Ⅰ,182,120,,15,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
尖刺銳劍Ⅱ,196,120,,15,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
骨鎚龍棍棒Ⅰ,238,150,,20,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
骨鎚龍棍棒Ⅱ,252,180,,20,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
骨鎚龍棍棒Ⅲ,266,210,,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
凶豺龍銳劍Ⅰ,168,,,,,"['17.5%', '12.5%', '12.5%', '7.5%', '50%', '17.5%']","['12.5%', '12.5%', '20%', '37.5%']"
凶豺龍銳劍Ⅱ,196,,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
凶豺龍銳劍Ⅲ,210,,,,,"['20%', '17.5%', '7.5%', '17.5%', '37.5%', '20%']","['17.5%', '7.5%', '30%', '25%']"
凶豺龍棍棒Ⅰ,238,(300),,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
凶豺龍棍棒Ⅱ,252,(330),,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
凶豺龍棍棒Ⅲ,266,(360),,,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
閃雷銳劍Ⅰ,182,90,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
閃雷銳劍Ⅱ,210,120,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
雷光戰狂Ⅰ,224,150,,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
雷光戰狂Ⅱ,252,180,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
雷光戰狂Ⅲ,266,210,,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
土砂龍銳劍Ⅰ,182,,-10%,10,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
土砂龍銳劍Ⅱ,196,,-10%,10,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
土砂龍銳劍Ⅲ,224,,-10%,10,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
土砂龍棍棒Ⅰ,252,(120),-10%,15,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
土砂龍棍棒Ⅱ,266,(150),-10%,15,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
土砂龍棍棒Ⅲ,294,(180),-10%,15,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
火焰銳劍Ⅰ,196,150,-20%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
火焰銳劍Ⅱ,224,180,-20%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
蠻顎龍劍,266,210,-20%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
蠻顎劍追尋者,294,240,-20%,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
龍骨劍Ⅰ,140,270龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨劍Ⅱ,154,330龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
龍骨劍Ⅲ,196,450龍封力[小],,,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
雷刀,154,270,,,,"['10%', '12.5%', '20%', '20%', '37.5%', '10%']","['12.5%', '20%', '32.5%', '25%']"
雷光刀Ⅰ,210,300,,,,"['27.5%', '5%', '5%', '37.5%', '12.5%', '12.5%']","['27.5%', '5%', '5%', '37.5%', '25%', '0%']"
雷光刀Ⅱ,224,360,,,,"['27.5%', '5%', '5%', '32.5%', '17.5%', '12.5%']","['27.5%', '5%', '5%', '32.5%', '30%', '0%']"
黑鋼劍Ⅰ,140,120龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼劍Ⅱ,154,150龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
炎王之劍,252,210,,,,"['25%', '15%', '15%', '25%', '7.5%', '12.5%']","['25%', '15%', '15%', '25%', '12.5%', '7.5%', '0%']"
炎王紋章,266,240,,,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
冥燈龍劍,238,270龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
致命暴龍,280,150龍封力[大],-20%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
致命寬劍,308,210龍封力[大],-20%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
金色的劍‧水,224,(210),+10%,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的劍‧龍,196,(210)龍封力[中],,20,,"['42.5%', '17.5%', '5%', '5%', '17.5%', '12.5%']","['42.5%', '17.5%', '5%', '5%', '20%', '10%', '0%']"
金色的劍‧爆破,224,(180),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的劍‧賊,238,120,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的劍‧毒妖,224,180,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的劍‧土砂,252,(180),-10%,25,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的劍‧蠻顎,224,120,-20%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
金色的劍‧痺賊,196,120,+30%,20,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
金色的劍‧浮空,210,120,,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的劍‧風漂,196,150,,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
金色的劍‧骨鎚,224,120,+10%,30,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的劍‧王,210,120,+30%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
金色的劍‧幻,196,180,,20,,"['32.5%', '25%', '7.5%', '7.5%', '15%', '12.5%']","['32.5%', '25%', '7.5%', '7.5%', '20%', '7.5%', '0%']"
鎧羅切刀‧賊,266,270,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅切刀‧毒妖,252,390,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅切刀‧土砂,308,(180),-10%,25,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅切刀‧蠻顎,294,240,-20%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
鎧羅切刀‧痺賊,224,240,+30%,20,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
鎧羅切刀‧浮空,252,270,,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
鎧羅切刀‧風漂,224,330,,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅切刀‧骨鎚,266,210,+10%,30,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅切刀‧王,266,180,+30%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
鎧羅切刀‧幻,224,360,,20,,"['32.5%', '25%', '7.5%', '7.5%', '15%', '12.5%']","['32.5%', '25%', '7.5%', '7.5%', '20%', '7.5%', '0%']"
鎧羅切刀‧水,266,(420),+10%,20,,"['42.5%', '17.5%', '5%', '5%', '17.5%', '12.5%']","['42.5%', '17.5%', '5%', '5%', '20%', '10%', '0%']"
鎧羅切刀‧龍,224,(450)龍封力[小],,20,,"['42.5%', '17.5%', '5%', '5%', '17.5%', '12.5%']","['42.5%', '17.5%', '5%', '5%', '20%', '10%', '0%']"
鎧羅切刀‧爆破,238,(390),,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后銳劍,266,120,,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
皇后銳劍‧炎妃,266,150毅力,+20%,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
皇后銳劍‧滅盡,280,120加速再生,,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
皇后銳劍‧冥燈,266,210利刃／彈丸節約,+10%,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
鎧羅切刀‧火,252,(390),,20,,"['52.5%', '5%', '5%', '5%', '7.5%', '12.5%']","['12.5%', '52.5%', '5%', '5%', '5%', '7.5%', '25%', '0%']"
帝王金劍‧痺賊,252,210會心攻擊【特殊】,+10%,,,"['10%', '30%', '20%', '15%', '12.5%', '12.5%']","['10%', '30%', '20%', '15%', '12.5%', '12.5%', '0%']"
帝王金劍‧風漂,238,300會心攻擊【屬性】,+10%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
帝王金劍‧王,266,240會心攻擊【屬性】,+15%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
帝王金劍‧幻,238,330會心攻擊【屬性】,+10%,,,"['32.5%', '25%', '7.5%', '7.5%', '15%', '12.5%']","['32.5%', '25%', '7.5%', '7.5%', '20%', '7.5%', '0%']"
帝王金劍‧水,252,330會心攻擊【屬性】,+15%,,,"['40%', '17.5%', '5%', '5%', '20%', '12.5%']","['40%', '17.5%', '5%', '5%', '22.5%', '10%', '0%']"
帝王金劍‧龍,238,360龍封力[小]會心攻擊【屬性】,+10%,,,"['40%', '17.5%', '5%', '5%', '20%', '12.5%']","['40%', '17.5%', '5%', '5%', '22.5%', '10%', '0%']"
帝王金劍‧爆破,224,330會心攻擊【特殊】,+10%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
狩魔獵人的銀劍,252,300龍封力[大],,,,"['62.5%', '5%', '5%', '5%', '7.5%', '15%']","['0%', '62.5%', '5%', '5%', '5%', '7.5%', '15%', '0%']"
狩魔獵人的銀劍＋,266,330龍封力[大],,,,"['60%', '5%', '5%', '5%', '7.5%', '17.5%']","['0%', '60%', '5%', '5%', '5%', '7.5%', '17.5%', '0%']"
