武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
骨斧Ⅲ,168,,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
狂野戰斧Ⅰ,196,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
狂野戰斧Ⅱ,210,,,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
狂野戰斧Ⅲ,224,(120),,,,"['30%', '17.5%', '7.5%', '20%', '25%', '30%']","['17.5%', '7.5%', '25%', '7.5%', '12.5%']"
強斧Ⅰ,238,(150),,10,,"['15%', '15%', '15%', '25%', '5%', '25%']","['15%', '15%', '15%', '25%', '17.5%', '12.5%']"
強斧Ⅱ,266,(180),,10,,"['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']","['27.5%', '12.5%', '12.5%', '20%', '27.5%', '0%']"
火焰戰斧Ⅰ,196,90,-20%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
火焰戰斧Ⅱ,210,120,-20%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
蠻顎龍颶風Ⅰ,238,150,-20%,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
蠻顎龍颶風Ⅱ,266,180,-20%,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
蠻顎龍颶風Ⅲ,294,210,-20%,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
爆鎚戰斧Ⅰ,224,,-10%,10,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
爆鎚戰斧Ⅱ,266,(90),-10%,10,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
爆鎚棍棒Ⅰ,294,(90),-10%,15,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
爆鎚棍棒Ⅱ,322,(90),-10%,15,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
泥岩利劍Ⅰ,154,90,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
泥岩利劍Ⅱ,182,90,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
泥岩利劍Ⅲ,210,120,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
泥岩龍斬斧Ⅰ,238,150,,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
泥岩龍斬斧Ⅱ,252,180,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
泥岩龍斬斧Ⅲ,266,210,,,,"['40%', '25%', '7.5%', '7.5%', '7.5%', '12.5%']","['40%', '25%', '7.5%', '7.5%', '12.5%', '7.5%', '0%']"
熔岩颶風Ⅰ,252,120,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
熔岩颶風Ⅱ,252,150,,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
巨甲蟲利劍Ⅰ,168,,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
巨甲蟲利劍Ⅱ,182,,,,,"['20%', '17.5%', '7.5%', '17.5%', '37.5%', '20%']","['17.5%', '7.5%', '30%', '25%']"
黑色收割者Ⅰ,196,(90),,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
黑色收割者Ⅱ,210,(90),,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
黑色收割者Ⅲ,224,(90),,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
脈衝戰斧Ⅰ,154,60,+10%,,,"['17.5%', '12.5%', '12.5%', '7.5%', '50%', '17.5%']","['12.5%', '12.5%', '20%', '37.5%']"
脈衝戰斧Ⅱ,168,60,+10%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
脈衝戰斧Ⅲ,196,60,+10%,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
飛雷龍之爪Ⅰ,224,90,+10%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
飛雷龍之爪Ⅱ,238,120,+10%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
飛雷龍之爪Ⅲ,252,150,+10%,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
慘爪戰斧Ⅰ,182,,+20%,,,"['20%', '17.5%', '7.5%', '17.5%', '37.5%', '20%']","['17.5%', '7.5%', '30%', '25%']"
慘爪戰斧Ⅱ,196,(180),+20%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
吸血鎖鎌,210,(180),+20%,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
罪【真】,224,(180),+20%,,,"['50%', '17.5%', '5%', '5%', '12.5%', '10%']","['0%', '50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
龍骨雙刀Ⅰ,140,120龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨雙刀Ⅱ,168,150龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
封龍劍【超絕一門】,196,270龍封力[小],,,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
熔山龍鉤爪Ⅰ,224,180,-20%,20,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
熔山龍鉤爪Ⅱ,308,210,-20%,20,,"['45%', '7.5%', '15%', '20%', '12.5%', '45%']","['7.5%', '15%', '22.5%', '10%', '0%']"
雙雷劍麒麟,154,210,,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
雙雷劍麒麟改,196,240,,,,"['27.5%', '5%', '5%', '35%', '15%', '12.5%']","['27.5%', '5%', '5%', '35%', '27.5%', '0%']"
迅雷,224,270,,,,"['27.5%', '5%', '5%', '30%', '20%', '12.5%']","['27.5%', '5%', '5%', '30%', '32.5%', '0%']"
黑鋼雙劍Ⅰ,140,90龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼雙劍Ⅱ,154,120龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
雙爪刀,238,210210,+10%,,,"['25%', '15%', '20%', '20%', '7.5%', '12.5%']","['25%', '15%', '20%', '20%', '15%', '5%', '0%']"
冰炎劍維爾瑪閃焰,252,240240,+10%,,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
冥燈龍雙劍,238,150龍封力[小],+15%,,,"['30%', '7.5%', '15%', '20%', '10%', '5%']","['12.5%', '30%', '7.5%', '15%', '20%', '10%', '17.5%', '0%']"
憤怒的雙刀,280,120龍封力[大],-20%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
憤怒捕食者,308,180龍封力[大],-20%,,,"['10%', '30%', '20%', '15%', '12.5%', '12.5%']","['10%', '30%', '20%', '15%', '12.5%', '12.5%', '0%']"
金色的雙劍‧水,238,(120),,20,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
金色的雙劍‧冰,224,(120),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的雙劍‧毒,224,(150),,20,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
金色的雙劍‧搔,210,60,+20%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
金色的雙劍‧泥魚,182,90,+10%,20,,"['40%', '25%', '7.5%', '7.5%', '7.5%', '12.5%']","['40%', '25%', '7.5%', '7.5%', '12.5%', '7.5%', '0%']"
金色的雙劍‧飛雷,196,60,+10%,20,,"['55%', '5%', '5%', '12.5%', '5%', '5%']","['12.5%', '55%', '5%', '5%', '12.5%', '5%', '17.5%', '0%']"
金色的雙劍‧蠻顎,224,120,-20%,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的雙劍‧黑甲,182,(60),,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
金色的雙劍‧眩,224,(90),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的雙劍‧慘爪,196,(60),+20%,20,,"['10%', '30%', '20%', '15%', '12.5%', '12.5%']","['10%', '30%', '20%', '15%', '12.5%', '12.5%', '0%']"
金色的雙劍‧角,266,(60),-10%,25,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
金色的雙劍‧熔岩,238,60,,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
金色的雙劍‧熔山,238,90,-20%,30,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅小刀‧搔,238,90,+20%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
鎧羅小刀‧泥魚,266,210,+10%,20,,"['40%', '25%', '7.5%', '7.5%', '7.5%', '12.5%']","['40%', '25%', '7.5%', '7.5%', '12.5%', '7.5%', '0%']"
鎧羅小刀‧飛雷,252,150,+10%,20,,"['55%', '5%', '5%', '12.5%', '5%', '5%']","['12.5%', '55%', '5%', '5%', '12.5%', '5%', '17.5%', '0%']"
鎧羅小刀‧蠻顎,294,240,-20%,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅小刀‧黑甲,238,(90),,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅小刀‧眩,266,(210),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
鎧羅小刀‧慘爪,252,(90),+20%,20,,"['10%', '30%', '20%', '15%', '12.5%', '12.5%']","['10%', '30%', '20%', '15%', '12.5%', '12.5%', '0%']"
鎧羅小刀‧角,322,(150),-10%,25,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
鎧羅小刀‧熔岩,266,150,,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
鎧羅小刀‧熔山,280,210,-20%,30,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅小刀‧水,266,(270),,20,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
鎧羅小刀‧冰,266,(270),,20,,"['12.5%', '12.5%', '15%', '30%', '17.5%', '12.5%']","['12.5%', '12.5%', '15%', '30%', '20%', '10%', '0%']"
鎧羅小刀‧毒,266,(330),,20,,"['10%', '12.5%', '15%', '30%', '20%', '12.5%']","['10%', '12.5%', '15%', '30%', '22.5%', '10%', '0%']"
皇后小刀,252,60,,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
皇后小刀‧炎妃,252,90毅力,+20%,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
皇后小刀‧滅盡,266,60加速再生,,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
皇后小刀‧冥燈,252,120利刃／彈丸節約,+10%,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
鬆軟的羽毛掃把,154,90,,,,"['15%', '12.5%', '15%', '20%', '37.5%', '15%']","['12.5%', '15%', '30%', '2.5%', '25%']"
鬆軟的慈愛,252,120,,,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
鎧羅小刀‧火,252,(180),,20,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
帝王金雙劍‧飛雷,252,180會心攻擊【屬性】,+15%,,,"['55%', '5%', '5%', '12.5%', '5%', '5%']","['12.5%', '55%', '5%', '5%', '12.5%', '5%', '17.5%', '0%']"
帝王金雙劍‧蠻顎,280,210會心攻擊【屬性】,+5%,,,"['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']","['20%', '12.5%', '12.5%', '20%', '35%', '0%']"
帝王金雙劍‧熔山,266,180會心攻擊【特殊】,+5%,15,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
帝王金雙劍‧黑甲,224,90會心攻擊【特殊】,+10%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
帝王金雙劍‧水,252,210會心攻擊【屬性】,+10%,,,"['42.5%', '17.5%', '5%', '5%', '17.5%', '12.5%']","['42.5%', '17.5%', '5%', '5%', '20%', '10%', '0%']"
帝王金雙劍‧冰,252,210會心攻擊【屬性】,+15%,,,"['10%', '12.5%', '15%', '30%', '20%', '12.5%']","['10%', '12.5%', '15%', '30%', '22.5%', '10%', '0%']"
帝王金雙劍‧龍,252,210龍封力[中]會心攻擊【屬性】,+20%,,,"['10%', '12.5%', '15%', '30%', '20%', '12.5%']","['10%', '12.5%', '15%', '30%', '22.5%', '10%', '0%']"
吉薇艾兒,294,(240)龍封力[大],,,,"['57.5%', '5%', '5%', '5%', '7.5%', '7.5%']","['12.5%', '57.5%', '5%', '5%', '5%', '7.5%', '20%', '0%']"
