武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
火龍棍【炎舞】,589,180,+20%,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
搔鳥長刀Ⅰ,310,,+10%,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
搔鳥長刀Ⅱ,341,,+10%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
搔鳥長刀Ⅲ,434,,+10%,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
星空長刀Ⅰ,465,(150),+20%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
星空長刀Ⅱ,496,(180),+20%,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
星空長刀Ⅲ,527,(210),+20%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
閃耀長刀Ⅰ,372,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
閃耀長刀Ⅱ,434,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
利刃長刀Ⅰ,496,(240),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
利刃長刀Ⅱ,527,(270),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
利刃長刀Ⅲ,558,(300),,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
冰霜長刀Ⅰ,434,150,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
冰霜長刀Ⅱ,465,180,,,,"['22.5%', '12.5%', '20%', '20%', '25%', '22.5%']","['12.5%', '20%', '25%', '7.5%', '12.5%']"
凍寒疾風刀Ⅰ,496,210,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
凍寒疾風刀Ⅱ,527,240,,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
花朵之刀Ⅰ,310,240,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
花朵之刀Ⅱ,341,270,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
花朵之刀Ⅲ,403,300,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
曼陀羅長刀Ⅰ,465,330,,,,"['22.5%', '12.5%', '20%', '20%', '25%', '22.5%']","['12.5%', '20%', '25%', '7.5%', '12.5%']"
曼陀羅長刀Ⅱ,496,360,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
曼陀羅長刀Ⅲ,527,390,,,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
岩賊龍長鞭Ⅰ,496,120,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
岩賊龍長鞭Ⅱ,527,150,,,,"['32.5%', '27.5%', '10%', '10%', '7.5%', '12.5%']","['32.5%', '27.5%', '10%', '10%', '15%', '5%', '0%']"
骨棍Ⅰ,279,,,,,"['22.5%', '15%', '12.5%', '50%', '22.5%', '15%']","['20%', '5%', '37.5%']"
骨棍Ⅱ,310,,,,,"['20%', '12.5%', '17.5%', '50%', '20%', '12.5%']","['20%', '10%', '37.5%']"
骨棍Ⅲ,341,,,,,"['17.5%', '12.5%', '12.5%', '7.5%', '50%', '17.5%']","['12.5%', '12.5%', '20%', '37.5%']"
硬骨棍Ⅰ,434,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
硬骨棍Ⅱ,465,,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
硬骨棍Ⅲ,496,(180),,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
飛空棍Ⅰ,527,(210),,10,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
飛空棍Ⅱ,589,(210),,10,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
屍套龍操蟲棍Ⅰ,589,150龍封力[中],,,,"['32.5%', '27.5%', '10%', '10%', '7.5%', '12.5%']","['32.5%', '27.5%', '10%', '10%', '15%', '5%', '0%']"
屍套龍操蟲棍Ⅱ,620,180龍封力[中],,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
蠻顎龍桿刀,403,210,-20%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
蠻顎龍桿刀改,558,240,-20%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
蠻顎棍翼龍桿刀,651,270,-20%,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
水流棍Ⅰ,341,60,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
水流棍Ⅱ,372,90,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
水流棍Ⅲ,434,120,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
激流長刀Ⅰ,465,150,,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
激流長刀Ⅱ,527,180,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
激流長刀Ⅲ,589,210,,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
爆鎚棍Ⅰ,496,,-30%,10,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
爆鎚棍Ⅱ,620,(120),-30%,10,,"['27.5%', '15%', '20%', '12.5%', '25%', '27.5%']","['15%', '20%', '20%', '5%', '12.5%']"
暴君長刀Ⅰ,682,(150),-30%,15,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
暴君長刀Ⅱ,713,(180),-30%,15,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
脈衝長棍Ⅰ,341,90,+10%,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
脈衝長棍Ⅱ,372,120,+10%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
脈衝長棍Ⅲ,434,150,+10%,,,"['20%', '17.5%', '7.5%', '17.5%', '37.5%', '20%']","['17.5%', '7.5%', '30%', '25%']"
飛雷龍之柱Ⅰ,465,180,+10%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
飛雷龍之柱Ⅱ,527,210,+10%,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
飛雷龍之柱Ⅲ,558,240,+10%,,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
慘爪長棍Ⅰ,403,,+10%,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
慘爪長棍Ⅱ,434,(90),+10%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
魅惑三鈷杵,465,(120),+20%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
惡【VICE】,496,(150),+20%,,,"['50%', '17.5%', '5%', '5%', '12.5%', '10%']","['0%', '50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
龍骨棍Ⅰ,310,300龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨棍Ⅱ,341,330龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
龍骨棍Ⅲ,496,390龍封力[小],,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
深藍電光,341,300,,,,"['10%', '12.5%', '20%', '20%', '37.5%', '10%']","['12.5%', '20%', '32.5%', '25%']"
蒼藍電魂,434,330,,,,"['27.5%', '5%', '5%', '35%', '15%', '12.5%']","['27.5%', '5%', '5%', '35%', '27.5%', '0%']"
碧綠神鳴,496,360,,,,"['27.5%', '5%', '5%', '30%', '20%', '12.5%']","['27.5%', '5%', '5%', '30%', '32.5%', '0%']"
黑鋼長刀Ⅰ,310,60龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼長刀Ⅱ,341,90龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
靈魂鋼龍棍,527,150,+10%,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
冰體鋼龍棍,558,180,+10%,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
冥燈龍長刀,558,120龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
邪惡之翼,620,150龍封力[大],-25%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
污穢暴風雨,682,210龍封力[大],-25%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
穿心槍蓋博爾格,558,240龍封力[大],+10%,,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
穿心槍蓋博爾格‧真,589,300龍封力[大],+20%,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
金色的長刀‧水,465,(180),,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
金色的長刀‧冰,434,(180),,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
金色的長刀‧麻痺,434,(180),,30,,"['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']","['25%', '12.5%', '12.5%', '20%', '30%', '0%']"
金色的長刀‧搔,465,(120),+30%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
金色的長刀‧毒妖,465,180,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的長刀‧飛雷,465,120,+20%,20,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
金色的長刀‧眩,527,(150),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
金色的長刀‧慘爪,434,(60),+20%,20,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
金色的長刀‧屍套,465,90龍封力[中],,20,,"['62.5%', '5%', '5%', '5%', '7.5%', '2.5%']","['12.5%', '62.5%', '5%', '5%', '5%', '7.5%', '15%', '0%']"
金色的長刀‧王,496,120,+20%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
金色的長刀‧角,620,(120),-30%,25,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
金色的長刀‧岩賊,465,90,,20,,"['32.5%', '27.5%', '10%', '10%', '7.5%', '12.5%']","['32.5%', '27.5%', '10%', '10%', '15%', '5%', '0%']"
鎧羅長刀‧搔,527,(210),+30%,20,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
鎧羅長刀‧毒妖,558,390,,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅長刀‧飛雷,558,240,+20%,20,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
鎧羅長刀‧眩,589,(300),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
鎧羅長刀‧慘爪,558,(90),+20%,20,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
鎧羅長刀‧屍套,527,180龍封力[中],,20,,"['62.5%', '5%', '5%', '5%', '7.5%', '2.5%']","['12.5%', '62.5%', '5%', '5%', '5%', '7.5%', '15%', '0%']"
鎧羅長刀‧王,589,210,+20%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
鎧羅長刀‧角,713,(240),-30%,25,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
鎧羅長刀‧岩賊,558,150,,20,,"['32.5%', '27.5%', '10%', '10%', '7.5%', '12.5%']","['32.5%', '27.5%', '10%', '10%', '15%', '5%', '0%']"
鎧羅長刀‧水,620,(360),,20,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
鎧羅長刀‧冰,527,(390),,20,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
鎧羅長刀‧麻痺,620,(300),,30,,"['17.5%', '12.5%', '12.5%', '20%', '25%', '12.5%']","['17.5%', '12.5%', '12.5%', '20%', '37.5%', '0%']"
皇后長鞭,589,120,,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后長鞭‧炎妃,589,150毅力,+20%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后長鞭‧滅盡,620,120加速再生,,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后長鞭‧冥燈,589,210利刃／彈丸節約,+10%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
鎧羅長刀‧睡眠,558,(270),,20,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
帝王金長刀‧飛雷,589,300會心攻擊【屬性】,+15%,,,"['42.5%', '17.5%', '5%', '5%', '17.5%', '12.5%']","['42.5%', '17.5%', '5%', '5%', '20%', '10%', '0%']"
帝王金長刀‧屍套,527,360龍封力[中]會心攻擊【屬性】,+10%,,,"['57.5%', '5%', '5%', '5%', '7.5%', '7.5%']","['12.5%', '57.5%', '5%', '5%', '5%', '7.5%', '20%', '0%']"
帝王金長刀‧王,589,270會心攻擊【屬性】,+20%,20,,"['17.5%', '15%', '15%', '25%', '15%', '12.5%']","['17.5%', '15%', '15%', '25%', '20%', '7.5%', '0%']"
帝王金長刀‧岩賊,558,270會心攻擊【特殊】,+10%,,,"['60%', '5%', '5%', '5%', '7.5%', '5%']","['12.5%', '60%', '5%', '5%', '5%', '7.5%', '17.5%', '0%']"
帝王金長刀‧水,620,270會心攻擊【屬性】,+10%,,,"['12.5%', '12.5%', '15%', '30%', '17.5%', '12.5%']","['12.5%', '12.5%', '15%', '30%', '20%', '10%', '0%']"
帝王金長刀‧冰,558,240會心攻擊【屬性】,+10%,,,"['22.5%', '7.5%', '15%', '20%', '10%', '12.5%']","['12.5%', '22.5%', '7.5%', '15%', '20%', '10%', '25%', '0%']"
帝王金長刀‧麻痺,620,210會心攻擊【特殊】,+10%,,,"['60%', '5%', '5%', '5%', '7.5%', '5%']","['12.5%', '60%', '5%', '5%', '5%', '7.5%', '17.5%', '0%']"
