武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
凶顎龍盾斧Ⅱ,540,270,+20%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
凶顎龍盾斧Ⅲ,576,300,+20%,,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
屍套龍盾斧Ⅰ,648,210龍封力[中],,,,"['32.5%', '27.5%', '10%', '10%', '7.5%', '12.5%']","['32.5%', '27.5%', '10%', '10%', '15%', '5%', '0%']"
屍套龍盾斧Ⅱ,684,270龍封力[中],,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
脈衝兵裝Ⅰ,396,90,+10%,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
脈衝兵裝Ⅱ,432,120,+10%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
脈衝兵裝Ⅲ,468,120,+10%,,,"['20%', '17.5%', '7.5%', '17.5%', '37.5%', '20%']","['17.5%', '7.5%', '30%', '25%']"
飛雷龍之腕Ⅰ,504,150,+15%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
飛雷龍之腕Ⅱ,576,180,+15%,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
飛雷龍之腕Ⅲ,648,210,+15%,,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
慘爪兵裝 Ⅰ,468,,+20%,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
慘爪兵裝 Ⅱ,504,(120),+20%,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
憎恨的火炎,540,(150),+25%,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
憎【忿恨】,576,(180),+25%,,,"['50%', '17.5%', '5%', '5%', '12.5%', '10%']","['0%', '50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
龍骨盾斧Ⅰ,360,270龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨盾斧Ⅱ,396,300龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
龍骨盾斧Ⅲ,576,360龍封力[小],,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
熔山龍盾斧,576,180,-10%,20,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
捲土重來熔山龍盾斧,756,210,-10%,20,,"['52.5%', '7.5%', '10%', '17.5%', '12.5%', '52.5%']","['7.5%', '10%', '22.5%', '7.5%', '0%']"
黑鋼盾斧Ⅰ,360,120龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼盾斧Ⅱ,396,150龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
鋼龍冰盾,612,150,+10%,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
鋼龍幻夢,648,180,+15%,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
冥燈龍盾斧,648,180龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
暴虐的盾斧,720,150龍封力[大],-25%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
德斯特涅塔,792,210龍封力[大],-25%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
但丁的魔劍,720,150,,,,"['10%', '12.5%', '12.5%', '20%', '32.5%', '12.5%']","['10%', '12.5%', '12.5%', '20%', '45%', '0%']"
金色的盾斧‧冰,504,(180),,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
金色的盾斧‧雷,504,(210),,20,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
金色的盾斧‧睡眠,504,(120),,20,,"['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']","['27.5%', '12.5%', '12.5%', '20%', '27.5%', '0%']"
金色的盾斧‧賊,540,90,,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的盾斧‧泥魚,576,150,+10%,20,,"['25%', '15%', '15%', '25%', '7.5%', '12.5%']","['25%', '15%', '15%', '25%', '12.5%', '7.5%', '0%']"
金色的盾斧‧飛雷,540,120,+15%,20,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
金色的盾斧‧痺賊,504,150,+30%,20,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
金色的盾斧‧慘爪,504,(90),+25%,20,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
金色的盾斧‧屍套,576,120龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
金色的盾斧‧王,684,120,+20%,20,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
金色的盾斧‧角,684,(120),-30%,25,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
金色的盾斧‧岩賊,540,90,,20,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
鎧羅兵裝‧賊,684,90,,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅兵裝‧泥魚,684,180,+10%,20,,"['25%', '15%', '15%', '25%', '7.5%', '12.5%']","['25%', '15%', '15%', '25%', '12.5%', '7.5%', '0%']"
鎧羅兵裝‧飛雷,684,150,+15%,20,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
鎧羅兵裝‧痺賊,576,150,+30%,20,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
鎧羅兵裝‧慘爪,648,(90),+25%,20,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
鎧羅兵裝‧屍套,684,120龍封力[中],+10%,20,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
鎧羅兵裝‧王,684,180,+30%,20,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
鎧羅兵裝‧角,828,(210),-30%,25,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
鎧羅兵裝‧岩賊,648,90,,20,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
鎧羅兵裝‧冰,648,(390),,20,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
鎧羅兵裝‧雷,684,(420),,20,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
鎧羅兵裝‧睡眠,684,(270),,20,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
皇后武器,648,120,,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后武器‧炎妃,648,150毅力,+20%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后武器‧滅盡,684,120加速再生,,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
皇后武器‧冥燈,648,210利刃／彈丸節約,+10%,,,"['25%', '7.5%', '15%', '20%', '10%', '10%']","['12.5%', '25%', '7.5%', '15%', '20%', '10%', '22.5%', '0%']"
鎧羅兵裝‧水,648,300,+20%,20,,"['52.5%', '5%', '5%', '5%', '7.5%', '12.5%']","['12.5%', '52.5%', '5%', '5%', '5%', '7.5%', '25%', '0%']"
帝王金盾斧‧飛雷,720,300會心攻擊【屬性】,+15%,,,"['40%', '17.5%', '5%', '5%', '20%', '12.5%']","['40%', '17.5%', '5%', '5%', '22.5%', '10%', '0%']"
帝王金盾斧‧痺賊,648,330會心攻擊【特殊】,+15%,,,"['45%', '17.5%', '5%', '5%', '15%', '12.5%']","['45%', '17.5%', '5%', '5%', '17.5%', '10%', '0%']"
帝王金盾斧‧屍套,720,300龍封力[中]會心攻擊【屬性】,+15%,,,"['45%', '17.5%', '5%', '5%', '15%', '12.5%']","['45%', '17.5%', '5%', '5%', '17.5%', '10%', '0%']"
帝王金盾斧‧王,720,300會心攻擊【屬性】,+15%,,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
帝王金盾斧‧冰,684,480會心攻擊【屬性】,+20%,,,"['10%', '12.5%', '15%', '30%', '20%', '12.5%']","['10%', '12.5%', '15%', '30%', '22.5%', '10%', '0%']"
帝王金盾斧‧岩賊,720,300會心攻擊【特殊】,+20%,,,"['45%', '17.5%', '5%', '5%', '15%', '12.5%']","['45%', '17.5%', '5%', '5%', '17.5%', '10%', '0%']"
帝王金盾斧‧水,684,330會心攻擊【屬性】,+20%,,,"['52.5%', '5%', '5%', '5%', '7.5%', '12.5%']","['12.5%', '52.5%', '5%', '5%', '5%', '7.5%', '25%', '0%']"
