武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味
水流鎚Ⅲ,676,150,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
激流強鎚Ⅰ,780,180,,,,"['27.5%', '15%', '20%', '12.5%', '25%', '27.5%']","['15%', '20%', '20%', '5%', '12.5%']"
激流強鎚Ⅱ,832,210,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
激流強鎚Ⅲ,936,240,,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
凶顎龍鎚Ⅰ,624,210,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
凶顎龍鎚Ⅱ,676,270,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
馬拉多戰鎚Ⅰ,728,330,+20%,,,"['15%', '12.5%', '20%', '27.5%', '25%', '15%']","['12.5%', '20%', '37.5%', '2.5%', '12.5%']"
馬拉多戰鎚Ⅱ,780,360,+20%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
馬拉多戰鎚Ⅲ,832,390,+20%,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
花朵鎚Ⅰ,520,300,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
花朵鎚Ⅱ,624,360,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
花朵鎚Ⅲ,728,420,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
鮮豔花朵,780,480,,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
花之女神,936,540,,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
閃電鎚Ⅰ,676,180,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
閃電鎚Ⅱ,780,210,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
雷光強鎚Ⅰ,832,240,,,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
雷光強鎚Ⅱ,884,270,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
雷光強鎚Ⅲ,988,300,,,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
岩骨鎚Ⅰ,520,,,,,"['27.5%', '15%', '7.5%', '50%', '27.5%', '15%']","['20%', '37.5%']"
岩骨鎚Ⅱ,572,,,,,"['22.5%', '15%', '12.5%', '50%', '22.5%', '15%']","['20%', '5%', '37.5%']"
岩骨鎚Ⅲ,624,,,,,"['22.5%', '12.5%', '12.5%', '2.5%', '50%', '22.5%']","['12.5%', '12.5%', '15%', '37.5%']"
重岩骨鎚Ⅰ,728,,,,,"['32.5%', '17.5%', '7.5%', '5%', '37.5%', '32.5%']","['17.5%', '7.5%', '17.5%', '25%']"
重岩骨鎚Ⅱ,780,,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
重岩骨鎚Ⅲ,832,(360),,,,"['27.5%', '17.5%', '7.5%', '22.5%', '25%', '27.5%']","['17.5%', '7.5%', '25%', '10%', '12.5%']"
大地之岩Ⅰ,884,(390),,10,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
大地之岩Ⅱ,988,(420),,10,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
屍套龍大鎚,988,210龍封力[中],,,,"['35%', '27.5%', '10%', '10%', '5%', '12.5%']","['35%', '27.5%', '10%', '10%', '12.5%', '5%', '0%']"
惡靈禍根,1040,270龍封力[中],,,,"['50%', '17.5%', '5%', '5%', '10%', '12.5%']","['50%', '17.5%', '5%', '5%', '12.5%', '10%', '0%']"
銳骨鎚Ⅰ,676,150,,15,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
銳骨鎚Ⅱ,728,180,,15,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
骨鎚龍擊鎚Ⅰ,780,210,,20,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
骨鎚龍擊鎚Ⅱ,884,240,,20,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
骨鎚龍擊鎚Ⅲ,988,270,,20,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
爆鎚粉碎者Ⅰ,988,120,,30,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
爆鎚粉碎者Ⅱ,1092,120,,30,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
搔鳥釘鎚Ⅰ,624,,+15%,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
搔鳥釘鎚Ⅱ,676,,+15%,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
搔鳥釘鎚Ⅲ,728,,+15%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
衝擊釘鎚Ⅰ,780,(240),+25%,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
衝擊釘鎚Ⅱ,832,(300),+25%,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
衝擊釘鎚Ⅲ,884,(360),+25%,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
銅頭鎚Ⅰ,884,,-25%,10,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
銅頭鎚Ⅱ,988,(150),-25%,10,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
爆鎚戰鎚Ⅰ,1092,(150),-25%,15,,"['30%', '17.5%', '7.5%', '20%', '25%', '30%']","['17.5%', '7.5%', '25%', '7.5%', '12.5%']"
爆鎚戰鎚Ⅱ,1196,(150),-25%,15,,"['25%', '12.5%', '15%', '30%', '5%', '12.5%']","['25%', '12.5%', '15%', '30%', '12.5%', '5%', '0%']"
土砂龍鏈枷Ⅰ,676,,-10%,10,,"['17.5%', '12.5%', '12.5%', '7.5%', '50%', '17.5%']","['12.5%', '12.5%', '20%', '37.5%']"
土砂龍鏈枷Ⅱ,728,,-10%,10,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
土砂龍鏈枷Ⅲ,832,,-10%,10,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
土砂龍粉碎者Ⅰ,936,(270),-10%,15,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
土砂龍粉碎者Ⅱ,988,(330),-10%,15,,"['27.5%', '17.5%', '7.5%', '22.5%', '25%', '27.5%']","['17.5%', '7.5%', '25%', '10%', '12.5%']"
土砂龍粉碎者Ⅲ,1040,(390),-10%,15,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
火焰戰鎚Ⅰ,780,210,-20%,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
火焰戰鎚Ⅱ,832,270,-20%,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
蠻顎龍戰鎚Ⅰ,884,330,-20%,,,"['27.5%', '15%', '20%', '12.5%', '25%', '27.5%']","['15%', '20%', '20%', '5%', '12.5%']"
蠻顎龍戰鎚Ⅱ,988,360,-20%,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
蠻顎龍戰鎚Ⅲ,1092,450,-20%,,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
龍骨大鎚Ⅰ,520,300龍封力[小],,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
龍骨大鎚Ⅱ,572,360龍封力[小],,,,"['17.5%', '17.5%', '7.5%', '20%', '37.5%', '17.5%']","['17.5%', '7.5%', '32.5%', '25%']"
龍骨大鎚Ⅲ,832,420龍封力[小],,,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
熔山龍爆鎚,832,330,-20%,20,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
活火激發熔山龍爆鎚,1144,420,-20%,20,,"['47.5%', '7.5%', '15%', '17.5%', '12.5%', '47.5%']","['7.5%', '15%', '20%', '10%', '0%']"
黑鋼鎚Ⅰ,520,120龍封力[小],,,,"['37.5%', '27.5%', '10%', '25%', '37.5%', '27.5%']","['10%', '10%', '2.5%', '12.5%']"
黑鋼鎚Ⅱ,572,150龍封力[小],,,,"['35%', '27.5%', '10%', '2.5%', '25%', '35%']","['27.5%', '10%', '10%', '5%', '12.5%']"
鋼冰棍,988,120,+10%,,,"['27.5%', '15%', '20%', '20%', '5%', '12.5%']","['27.5%', '15%', '20%', '20%', '12.5%', '5%', '0%']"
巨大鋼龍錘,1040,150,+10%,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
冥燈龍大鎚,884,180龍封力[小],+15%,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
牢獄錘,832,180,,20,,"['30%', '30%', '10%', '12.5%', '5%', '12.5%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
電擊錘,936,210,,20,,"['40%', '25%', '7.5%', '7.5%', '7.5%', '12.5%']","['40%', '25%', '7.5%', '7.5%', '12.5%', '7.5%', '0%']"
混沌之鎚,1092,150龍封力[大],-30%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
混沌之鎚,1196,210龍封力[大],-30%,,,"['12.5%', '30%', '20%', '15%', '10%', '12.5%']","['12.5%', '30%', '20%', '15%', '10%', '12.5%', '0%']"
金色的鎚子‧水,832,(180),,20,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
金色的鎚子‧冰,832,(210),,20,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
金色的鎚子‧雷,832,(240),,30,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
金色的鎚子‧搔,884,(120),+35%,20,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
金色的鎚子‧毒妖,780,270,,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
金色的鎚子‧土砂,936,(180),-10%,25,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的鎚子‧蠻顎,884,210,-20%,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
金色的鎚子‧痺賊,728,180,+30%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
金色的鎚子‧骨鎚,780,120,+10%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
金色的鎚子‧屍套,936,120龍封力[中],,20,,"['17.5%', '30%', '20%', '15%', '5%', '12.5%']","['17.5%', '30%', '20%', '15%', '5%', '12.5%', '0%']"
金色的鎚子‧角,988,60,-25%,20,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
金色的鎚子‧爆鎚,936,60,,30,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅大錘‧搔,884,(360),+35%,20,,"['30%', '27.5%', '10%', '10%', '10%', '12.5%']","['30%', '27.5%', '10%', '10%', '17.5%', '5%', '0%']"
鎧羅大錘‧毒妖,988,540,,20,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
鎧羅大錘‧土砂,1092,(390),-10%,25,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅大錘‧蠻顎,1040,450,-20%,20,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅大錘‧痺賊,832,390,+30%,20,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
鎧羅大錘‧骨鎚,988,270,+10%,30,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
鎧羅大錘‧屍套,1040,270龍封力[中],,20,,"['17.5%', '30%', '20%', '15%', '5%', '12.5%']","['17.5%', '30%', '20%', '15%', '5%', '12.5%', '0%']"
鎧羅大錘‧角,1144,90,-25%,20,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
鎧羅大錘‧爆鎚,1092,120,,30,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
鎧羅大錘‧水,988,(360),,20,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
鎧羅大錘‧冰,988,(510),,20,,"['47.5%', '17.5%', '5%', '5%', '12.5%', '12.5%']","['47.5%', '17.5%', '5%', '5%', '15%', '10%', '0%']"
鎧羅大錘‧雷,988,(480),,30,,"['37.5%', '25%', '7.5%', '7.5%', '10%', '12.5%']","['37.5%', '25%', '7.5%', '7.5%', '15%', '7.5%', '0%']"
皇后鏈錘,936,150,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后鏈錘‧炎妃,936,180毅力,+20%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后鏈錘‧滅盡,988,150加速再生,,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
皇后鏈錘‧冥燈,936,240利刃／彈丸節約,+10%,,,"['27.5%', '7.5%', '15%', '20%', '10%', '7.5%']","['12.5%', '27.5%', '7.5%', '15%', '20%', '10%', '20%', '0%']"
硬梆梆的針山,676,150,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
硬梆梆的怨氣,1040,270,,,,"['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']","['27.5%', '12.5%', '12.5%', '20%', '27.5%', '0%']"
鎧羅大錘‧睡眠,1040,(300),,30,,"['55%', '5%', '5%', '5%', '7.5%', '10%']","['12.5%', '55%', '5%', '5%', '5%', '7.5%', '22.5%', '0%']"
帝王金鎚‧痺賊,936,300會心攻擊【特殊】,+20%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
帝王金鎚‧屍套,1040,330龍封力[中]會心攻擊【屬性】,+10%,,,"['10%', '30%', '20%', '15%', '12.5%', '12.5%']","['10%', '30%', '20%', '15%', '12.5%', '12.5%', '0%']"
帝王金鎚‧爆鎚,1040,360會心攻擊【屬性】,+10%,15,,"['20%', '25%', '10%', '10%', '22.5%', '12.5%']","['20%', '25%', '10%', '10%', '35%', '0%']"
帝王金鎚‧水,1040,390會心攻擊【屬性】,+10%,,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
帝王金鎚‧冰,988,480會心攻擊【屬性】,+10%,,,"['42.5%', '17.5%', '5%', '5%', '17.5%', '12.5%']","['42.5%', '17.5%', '5%', '5%', '20%', '10%', '0%']"
帝王金鎚‧雷,988,450會心攻擊【屬性】,+15%,,,"['32.5%', '25%', '7.5%', '7.5%', '15%', '12.5%']","['32.5%', '25%', '7.5%', '7.5%', '20%', '7.5%', '0%']"
帝王金鎚‧爆破,1118,270會心攻擊【特殊】,+15%,,,"['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']","['27.5%', '12.5%', '12.5%', '20%', '27.5%', '0%']"
